experiment_id,gene,missing_all,missing_labelled,missing_interior,missing_boundary,largest_connected_gap,slab_score,intensity_score
79567762,Arpp21,0.366651,0.0483172,0.0431247,0.0811156,1361,1,0.260856
74881560,Atp8a1,0.394236,0.035674,0.0272105,0.0891342,1409,0.0661479,0.15856
75773706,Ppp1r1a,0.339819,0.0935371,0.0890091,0.122138,1931,1,0.242002
73520984,Hint1,0.357757,0.048889,0.0432719,0.0843696,1409,0.340824,0.312624
73636121,Glra2,0.38479,0.0363411,0.0305037,0.0732132,1658,0.0498643,0.114451
74819241,Ttc27,0.401874,0.0843088,0.0770504,0.130157,1145,0.97714,0.260094
74988755,Lonrf2,0.367674,0.0630569,0.0570335,0.101104,1658,1,0.177495
79568030,Mtap,0.294051,0.0844041,0.0820915,0.0990122,1409,0.81701,0.101737
77280428,Chn2,0.422473,0.129513,0.121739,0.178617,1364,1,0.292503
72007933,Nsdhl,0.367467,0.02751,0.0212496,0.067054,1149,0.046586,0.297805
71249742,Krt222,0.396715,0.0410902,0.0346985,0.0814643,1414,0.355283,0.469515
77887842,Traip,0.448232,0.202036,0.199765,0.216386,2660,1,0.0245125
1776,Mtss1,0.452581,0.10024,0.0854767,0.193492,1086,0.560662,0.146638
74657951,Msh2,0.367762,0.0424244,0.0381205,0.0696107,1183,1,0.330138
74425525,Aox1,0.397211,0.0502708,0.0412113,0.107496,1409,0.904762,0.0712259
2429,Nkiras2,0.402916,0.0356899,0.022703,0.117722,1021,1,0.398342
322956,4930506M07Rik,0.494138,0.186518,0.180079,0.227193,1890,0.661242,0.329181
70301085,Mgat4c,0.388945,0.0496514,0.0399603,0.110866,2110,0.0676568,0.0676583
73992948,Eml1,0.383773,0.0707762,0.0676307,0.090645,1311,1,0.386122
76135830,Deptor,0.364749,0.101796,0.0995327,0.116095,1409,1,0.235325
